Customer_ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Spent_Behaviour,Credit-Builder Loan,Personal Loan,Debt Consolidation Loan,Student Loan,Payday Loan,Mortgage Loan,Auto Loan,Home Equity Loan,Not Specified
CUS_0xd40,1,23,12,0.000500523,0.102087051,3,4,3,4,3,7,11.27,4,2.333333333,809.98,26.82261962,265,0,49.57494921,0.00804153,2,1,2,0,1,1,0,0,0,0,1,1,0
CUS_0xd40,4,23,12,0.000500523,0.29052218,3,4,3,4,5,4,6.27,4,3,809.98,31.37786187,268,0,49.57494921,0.019945807,2,1,2,1,1,1,0,0,0,0,1,1,0
CUS_0xd40,5,23,12,0.000500523,0.102087051,3,4,3,4,6,13.33333333,11.27,4,3,809.98,24.79734691,269,0,49.57494921,0.004142015,1,1,2,0,1,1,0,0,0,0,1,1,0
CUS_0xd40,6,23,12,0.000500523,0.279881853,3,4,3,4,8,4,9.27,4,3,809.98,27.26225871,270,0,49.57494921,0.006243017,3,1,2,2,1,1,0,0,0,0,1,1,0
CUS_0xd40,7,23,12,0.000500523,0.102087051,3,4,3,4,3,8,11.27,4,3,809.98,22.53759303,271,0,49.57494921,0.017834407,2,1,2,1,1,1,0,0,0,0,1,1,0
CUS_0xd40,8,23,12,0.000500523,0.102087051,3,4,3,4,3,6,11.27,4,3,809.98,23.9337948,246.6666667,0,49.57494921,0.002478522,1,1,1,0,1,1,0,0,0,0,1,1,0
CUS_0x21b1,1,28,15,0.001150918,0.183500669,2,4,6,1,3,4,5.42,2,3,605.03,24.46403064,319,0,18.81621457,0.010429183,2,1,1,1,1,0,0,0,0,0,0,0,0
CUS_0x21b1,2,28,13,0.001150918,0.183500669,2,4,6,1,7,1,7.42,2,3,605.03,38.55084843,320,0,18.81621457,0.004039124,0,1,2,0,1,0,0,0,0,0,0,0,0
CUS_0x21b1,3,28,13,0.001150918,0.183500669,2,6,6,1,3,-1,5.42,2,3,605.03,33.22495079,321,0,18.81621457,0.005851598,0,1,1,0,1,0,0,0,0,0,0,0,0
CUS_0x21b1,4,28,13,0.001150918,0.603415109,2,4,6,1,3,3,5.42,2,3,605.03,39.18265566,322,0,18.81621457,0.009930623,1,1,2,1,1,0,0,0,0,0,0,0,0
CUS_0x21b1,5,28,13,0.001150918,0.183500669,2,4,6,1,3,1,6.42,2,3,605.03,34.97789475,323,0,18.81621457,0.013011542,2,1,2,1,1,0,0,0,0,0,0,0,0
CUS_0x21b1,6,28,13,0.001150918,0.183500669,2,4,6,1,3,0,5.42,2,3,605.03,33.3810102,324,0,18.81621457,0.004347719,0,1,2,0,1,0,0,0,0,0,0,0,0
CUS_0x21b1,7,28,13,0.001150918,0.354069356,2,4,6,1,3,4,5.42,2,3,605.03,31.13170161,325,0,18.81621457,0.007010177,1,1,2,0,1,0,0,0,0,0,0,0,0
CUS_0x21b1,8,28,13,0.001150918,0.183500669,2,4,6,1,3,4,5.42,2,3,605.03,32.93385629,326,0,18.81621457,0.021890434,2,1,2,1,1,0,0,0,0,0,0,0,0
CUS_0x2dbc,1,34,15,0.00562839,0.797502464,1,5,8,3,5,8,7.1,3,3,1303.01,28.61673482,213,0,246.9923195,0.01684137,3,1,2,2,0,0,0,0,0,0,1,0,1
CUS_0x2dbc,2,34,4,0.00562839,0.797502464,1,5,8,3,13,6,7.1,3,3,1303.01,41.70257342,214,0,246.9923195,0.023286038,2,1,2,0,0,0,0,0,0,0,1,0,1
CUS_0x2dbc,3,34,15,0.00562839,0.51933433,1,5,8,3,8,7,11.1,2.333333333,3,1303.01,26.51981539,215,0,246.9923195,1,2,1,2,0,0,0,0,0,0,0,1,0,1
CUS_0x2dbc,4,34,4,0.00562839,0.797502464,1,5,8,3,8,5,9.1,3,1.666666667,1303.01,39.50164811,208,0,246.9923195,0.082521627,1,1,2,1,0,0,0,0,0,0,1,0,1
CUS_0x2dbc,5,34,15,0.00562839,0.797502464,1,5,8,3,10,5,7.1,3,3,1303.01,31.37614957,217,0,246.9923195,0.043094753,0,1,2,1,0,0,0,0,0,0,1,0,1
CUS_0x2dbc,6,34,4,0.00562839,0.797502464,1,5,8,3,8,6,7.1,3,3,1303.01,39.78399346,218,0,246.9923195,0.02578081,1,1,2,0,0,0,0,0,0,0,1,0,1
CUS_0x2dbc,7,34,4,0.00562839,0.797502464,1,5,8,3,8,6,7.1,3,3,1303.01,38.06862363,219,0,246.9923195,0.026317416,2,1,1,0,0,0,0,0,0,0,1,0,1
CUS_0x2dbc,8,34,4,0.00562839,0.797502464,1,5,8,3,8,6,7.1,3,3,1303.01,38.37475295,220,0,246.9923195,1,2,1,1,0,0,0,0,0,0,0,1,0,1
CUS_0xb891,1,33,5,0.000979038,0.154945795,2,5,4,1,0,6,1.99,4,3,632.46,26.54422872,207,0,16.41545166,0.008122886,0,1,1,1,0,0,0,0,0,0,0,0,1
CUS_0xb891,2,33,5,0.000979038,0.154945795,2,5,4,1,5,3,1.99,4,3,632.46,35.27998178,208,0,16.41545166,0.012488182,2,1,1,1,0,0,0,0,0,0,0,0,1
